adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
108.83,0,1,Check-Out,7/17/2015,Stephen Dickerson,Stephen_Dickerson@att.com,139-462-8029,************2092
153.96,0,0,Canceled,5/29/2015,Kimberly Olson,Kimberly.Olson@xfinity.com,995-876-8158,************7967
120.6,0,0,Check-Out,7/16/2015,Ashley Smith,Smith.Ashley45@gmail.com,762-466-8907,************1444
90.67,0,1,Check-Out,7/17/2015,Alec Johnson,Alec.Johnson67@yahoo.com,328-233-6698,************3622
126.67,0,0,Canceled,6/8/2015,Jasmin Schultz,Jasmin.Schultz@outlook.com,880-452-9834,************8319
144.4,0,1,Check-Out,7/17/2015,Henry Atkins,HAtkins@mail.com,789-073-1989,************3857
99.5,1,2,Check-Out,7/17/2015,Stephen Banks,Stephen.B83@gmail.com,810-088-3060,************5829
139.4,0,1,Check-Out,7/18/2015,Ashley Vasquez,Ashley_Vasquez@yandex.com,354-402-0741,************9359
73.8,0,1,Canceled,4/22/2015,Michael Cline,Michael.C@mail.com,549-770-1668,************4140
89.97,0,1,Check-Out,7/15/2015,Craig Oconnor,Oconnor_Craig@verizon.com,954-933-8330,************6956
123,0,0,Check-Out,7/15/2015,Michael Johnson,Michael.Johnson@outlook.com,122-626-4644,************7241
123,0,0,Check-Out,7/15/2015,James Jacobs,JJacobs70@hotmail.com,409-257-4183,************6248
123,0,0,Check-Out,7/12/2015,Zachary Kelly,Zachary_Kelly@yandex.com,812-444-6462,************4187
144.9,0,1,Check-Out,7/12/2015,Raymond Hawkins,Raymond_Hawkins@verizon.com,461-154-1148,************4807
153,0,0,Check-Out,7/12/2015,Phillip Allen,Phillip_A@att.com,617-143-2263,************3693
131,0,1,Check-Out,7/12/2015,Adam Day,AdamDay@mail.com,241-688-1550,************6428
100,1,0,Check-Out,7/13/2015,Lisa Morgan,LMorgan@hotmail.com,645-017-6780,************3449
65.5,0,0,Check-Out,7/13/2015,Brian Williams,Williams.Brian@comcast.net,860-802-1878,************4307
123,0,1,Check-Out,7/13/2015,Dr. Stephanie Martinez,Dr._Martinez@hotmail.com,944-834-8960,************3751
123,0,0,Check-Out,7/14/2015,James Bentley,James_Bentley@xfinity.com,774-521-8062,************5020
131,0,0,Check-Out,7/14/2015,Jessica Day,Jessica.Day@yahoo.com,955-149-9915,************8897
104.68,1,0,Check-Out,7/18/2015,Douglas Cordova MD,Douglas.MD@protonmail.com,159-873-7113,************2581
166,0,0,Check-Out,7/18/2015,Anthony Stein,Anthony_Stein43@comcast.net,929-530-7861,************5577
111.25,0,2,Canceled,5/19/2015,Michael Reed,MReed19@protonmail.com,345-673-4058,************9309
213.75,0,0,Check-Out,7/19/2015,Tina Andrews,Tina_Andrews@aol.com,158-054-6096,************8759
178,1,0,Check-Out,7/21/2015,Peggy Woods,Woods_Peggy@mail.com,293-514-6149,************3253
113.9,0,1,Check-Out,7/18/2015,Lucas Davis,Davis.Lucas@mail.com,203-046-2797,************3971
129.29,1,0,Check-Out,7/18/2015,Natasha Blankenship,NBlankenship@aol.com,776-972-7584,************1509
153,1,0,Check-Out,7/13/2015,Allison Jimenez,Allison_J76@gmail.com,898-848-5580,************8095
98,1,2,Check-Out,7/13/2015,Tonya Taylor,TonyaTaylor81@outlook.com,709-065-1399,************3483
169,1,2,Check-Out,7/18/2015,Jennifer Higgins,Higgins.Jennifer@yandex.com,669-803-3888,************6969
93,0,2,Canceled,5/12/2015,Glenn Love,Love_Glenn33@zoho.com,185-118-9346,************4196
132.29,0,0,Check-Out,7/19/2015,Joshua Salinas,Salinas.Joshua32@aol.com,292-065-4807,************1428
123,0,1,Check-Out,7/19/2015,Jennifer Allen,JAllen93@yahoo.com,599-009-6464,************1622
117.22,0,1,Check-Out,7/12/2015,Mary Daniels,Mary_D@comcast.net,356-149-7780,************9366
149,0,1,Check-Out,7/19/2015,Katelyn Mendoza,Katelyn_Mendoza@outlook.com,856-983-3492,************2302
164.57,0,1,Canceled,6/29/2015,Derrick Snyder,Snyder_Derrick@outlook.com,661-734-9784,************9139
107,0,0,Check-Out,7/19/2015,Thomas Watkins,Thomas_Watkins52@yandex.com,382-722-2380,************2430
117.22,1,2,Check-Out,7/19/2015,Timothy Pierce,Pierce_Timothy86@verizon.com,912-002-7378,************3201
119.25,0,0,Check-Out,7/19/2015,Gregory Green,Gregory_Green32@comcast.net,191-347-7868,************7236
123,0,0,Check-Out,7/19/2015,Taylor Gordon,TaylorGordon94@zoho.com,458-613-5796,************2456
105.71,0,0,Canceled,7/3/2015,Adam Blackwell,Adam.B77@yahoo.com,221-635-5515,************8772
123,0,1,Check-Out,7/19/2015,Arthur Evans,Arthur_Evans@comcast.net,771-489-6681,************6974
144.43,1,2,Check-Out,7/19/2015,Hunter Adkins,Hunter_Adkins97@att.com,378-088-8124,************7836
126,0,1,Canceled,6/19/2015,Kyle Brown,Kyle_Brown@verizon.com,794-954-2976,************3719
148.3,1,2,Check-Out,7/21/2015,Rebecca Pittman,Rebecca_P@yandex.com,253-746-5468,************3124
125.22,0,1,Check-Out,7/21/2015,Mrs. Peggy Martinez DVM,Mrs.DVM54@outlook.com,388-997-8210,************1232
123,0,0,Check-Out,7/23/2015,Rachel Dillon,Rachel_D@aol.com,948-815-9694,************7515
130,1,1,Check-Out,7/23/2015,Nancy White,NancyWhite@att.com,463-553-9686,************9376
133.16,0,1,No-Show,7/12/2015,Jamie Ramirez,Ramirez_Jamie22@aol.com,268-823-5667,************7600
78.84,0,0,Check-Out,7/19/2015,Maxwell Adams,Adams_Maxwell@outlook.com,748-235-2793,************6352
80.1,0,0,Check-Out,7/13/2015,Donald Hamilton,DHamilton@zoho.com,377-326-9224,************9307
193,0,1,Check-Out,7/14/2015,Ronald Alvarez,Alvarez_Ronald@yandex.com,712-213-1509,************6596
88.2,0,0,Check-Out,7/14/2015,John Petersen,John_P@verizon.com,863-704-8985,************8778
90.71,0,0,Check-Out,7/14/2015,Samuel Nguyen,Samuel.Nguyen23@verizon.com,621-145-7070,************3557
114.5,0,1,Check-Out,7/14/2015,Justin Carter,JCarter47@mail.com,184-296-7379,************3146
120.2,0,1,Check-Out,7/14/2015,Ronald Donovan,RDonovan@verizon.com,303-770-7261,************3876
79.5,0,0,Check-Out,7/15/2015,Jon Smith DDS,JonDDS@outlook.com,776-802-7867,************8481
117.9,0,3,Check-Out,7/15/2015,John Miller,JohnMiller90@gmail.com,789-680-3015,************9519
128,0,0,Canceled,6/22/2015,Charles Taylor,Charles_Taylor@gmail.com,726-694-8069,************3793
90.95,0,0,Check-Out,7/16/2015,Bryan Phillips,Bryan.P@aol.com,882-418-3762,************7080
107,0,2,Check-Out,7/16/2015,Gregory Gilbert,GGilbert@yandex.com,662-975-7938,************9238
130.05,1,1,Check-Out,7/16/2015,Linda Henry,Henry.Linda@gmail.com,563-683-3669,************4859
123,0,0,Check-Out,7/17/2015,Dominique Weber,Dominique.Weber@verizon.com,164-956-4026,************1008
103.8,0,0,No-Show,7/12/2015,Brianna Sullivan,Brianna.S86@xfinity.com,851-650-1614,************4355
196,0,1,Check-Out,7/17/2015,Johnathan Richards,JohnathanRichards30@att.com,518-499-7742,************5562
149.4,1,0,Check-Out,7/17/2015,Jonathan Riley,Riley.Jonathan@mail.com,487-119-8429,************6312
175.71,0,0,Check-Out,7/20/2015,Brandon Villegas,Villegas_Brandon@xfinity.com,187-274-2464,************6654
119.7,0,2,Check-Out,7/20/2015,Jennifer Moody,Jennifer.Moody@att.com,277-109-7026,************4022
100.86,0,1,Canceled,5/13/2015,Gary Boyle,Gary.B@yahoo.com,382-657-4702,************5163
100.86,0,0,Check-Out,7/20/2015,David Dyer,Dyer.David@yandex.com,347-074-0787,************2368
82,0,3,Check-Out,7/15/2015,Bryan Brown,BBrown@yahoo.com,585-554-3149,************3672
73.8,0,1,Check-Out,7/15/2015,Brittney West,Brittney_West@outlook.com,806-751-8607,************3613
117.9,1,0,Check-Out,7/15/2015,Robert Serrano,Serrano_Robert@outlook.com,752-827-6726,************7468
82,0,3,Check-Out,7/15/2015,James Palmer,James.Palmer54@hotmail.com,137-613-1969,************6871
150,0,0,Check-Out,7/15/2015,Micheal Randolph,MichealRandolph@comcast.net,533-493-2373,************2161
161,1,2,Check-Out,7/15/2015,Shannon Wilcox,Shannon_W89@yandex.com,325-997-9199,************4597
64,0,2,Check-Out,7/15/2015,Brian Brown,Brown_Brian28@protonmail.com,382-628-6300,************8822
123,0,0,Canceled,6/18/2015,Kenneth Powell,Kenneth_Powell16@mail.com,351-769-8315,************7596
110,1,0,Check-Out,7/16/2015,Maria Murray,MariaMurray@yandex.com,896-837-3430,************2686
88.2,1,1,Check-Out,7/16/2015,Jennifer Villegas,JVillegas@xfinity.com,637-854-4910,************9123
130,1,0,Check-Out,7/16/2015,Joseph Marshall,Marshall_Joseph@yandex.com,726-013-2955,************5137
88.2,0,1,Check-Out,7/16/2015,Alexander Allen,Allen.Alexander@comcast.net,126-088-3319,************1553
165,1,1,Check-Out,7/16/2015,Johnny Brooks,Brooks_Johnny44@hotmail.com,263-807-8149,************4594
114,0,0,Check-Out,7/17/2015,Alicia Jackson,Jackson_Alicia65@hotmail.com,356-087-2004,************4064
79.5,0,0,Canceled,6/24/2015,Teresa Moore,TeresaMoore86@protonmail.com,919-581-2832,************4132
132.8,0,1,Canceled,3/5/2015,Teresa Campbell,Campbell.Teresa@verizon.com,106-766-0848,************2254
120,0,2,Check-Out,7/18/2015,Richard Trevino,Trevino.Richard80@zoho.com,864-641-3360,************1304
79.5,0,0,Canceled,5/23/2015,Roger Johnson,Roger_J@protonmail.com,935-381-8233,************3314
120,0,0,Check-Out,7/18/2015,Jamie Johnson,JamieJohnson52@comcast.net,784-166-3367,************7084
144.2,0,1,Canceled,6/22/2015,Thomas Todd,Thomas.Todd@outlook.com,637-141-1710,************5093
107.2,0,0,Check-Out,7/18/2015,Debra Cabrera,Cabrera_Debra@aol.com,268-812-1776,************4835
120,0,0,Canceled,6/1/2015,Anthony Lewis Jr.,Anthony.J@gmail.com,800-613-9844,************4699
120,0,2,Check-Out,7/18/2015,Steven Smith,Smith_Steven@verizon.com,905-344-3651,************7008
163.8,0,1,Check-Out,7/18/2015,Alexander Mejia,AMejia@gmail.com,233-782-4970,************1870
98.5,0,2,Canceled,4/24/2015,Ethan Salas,Salas_Ethan88@hotmail.com,885-995-2297,************2357
130.5,0,0,Canceled,5/12/2015,Daniel Malone,Daniel.Malone@zoho.com,617-541-7611,************8232
153,0,0,Check-Out,7/19/2015,Dustin Luna,Luna_Dustin@comcast.net,506-258-0734,************9091
98.5,0,2,Check-Out,7/19/2015,Robert Leonard,Robert_Leonard@outlook.com,893-906-1359,************8429
119.7,0,2,Check-Out,7/20/2015,Michael Adams,Adams.Michael@xfinity.com,576-225-1878,************9661
184.6,0,1,Check-Out,7/20/2015,Jennifer Hayes,Hayes.Jennifer18@verizon.com,824-734-2920,************8519
181.22,0,2,Check-Out,7/20/2015,Kevin Chang,Chang_Kevin@att.com,332-337-4802,************7548
100.86,0,1,Canceled,4/15/2015,Joanna Schmidt,Joanna.Schmidt38@outlook.com,125-614-2098,************9712
100.2,1,3,Check-Out,7/14/2015,Ronald Richard,Ronald_R@xfinity.com,872-748-4584,************1399
134.25,1,0,Check-Out,7/17/2015,Monica Gibbs,Monica.G@att.com,662-170-0797,************7513
96.3,0,0,Check-Out,7/21/2015,James Deleon,James.D44@xfinity.com,635-151-1680,************1569
83.09,0,2,Check-Out,7/22/2015,Shannon Cook,Shannon.C80@protonmail.com,489-190-8501,************6613
105.5,0,0,Canceled,7/3/2015,Maria French,French_Maria94@gmail.com,425-626-1279,************9297
134,0,0,Check-Out,7/15/2015,Stephanie Williams,Stephanie.W83@gmail.com,927-634-9275,************3887
8,0,1,Check-Out,7/15/2015,Barbara Gomez,Barbara_Gomez56@outlook.com,578-560-8202,************9731
146,1,1,Check-Out,7/16/2015,Julian Tucker,Julian_T58@gmail.com,151-001-7822,************6479
126,0,2,Canceled,5/27/2015,Sheena Humphrey,Sheena.Humphrey83@xfinity.com,913-003-3861,************3937
111.15,0,1,Check-Out,7/18/2015,Mr. Jeffrey Thompson DDS,Mr._D@yahoo.com,201-901-1525,************2348
136.2,0,2,Check-Out,7/19/2015,Jessica Johnson,Jessica.Johnson@aol.com,113-143-0063,************6035
101.8,0,0,Check-Out,7/19/2015,Michael Nguyen,Nguyen_Michael@att.com,688-631-2814,************9987
127,0,1,Check-Out,7/20/2015,Carol Bowen,Bowen_Carol59@outlook.com,485-581-8769,************6277
161.5,0,2,Check-Out,7/20/2015,Lisa Fields MD,Lisa.M@yahoo.com,263-372-7831,************4615
230.67,1,2,Check-Out,7/20/2015,Lauren Cain,Cain_Lauren@comcast.net,390-655-9656,************1118
65.7,0,1,Canceled,4/6/2015,Christine Norman,Norman_Christine@comcast.net,296-862-9904,************3501
180,1,2,Check-Out,7/21/2015,Michael Anderson,Michael_A50@protonmail.com,248-242-1858,************2171
168.57,0,1,Check-Out,7/21/2015,Christopher Holder,ChristopherHolder30@aol.com,636-727-3303,************4769
107.67,0,1,Canceled,4/11/2015,Donald Jones,Donald.Jones24@mail.com,685-906-6304,************5857
96.9,0,1,Canceled,4/11/2015,Lindsay Martinez DVM,Lindsay.D21@yahoo.com,744-161-3675,************9389
107,0,1,Check-Out,7/23/2015,Michael Rodriguez,Michael_R@comcast.net,937-255-4154,************5080
73.41,0,0,Check-Out,7/25/2015,Mr. Joseph Horne,MHorne@zoho.com,818-312-8127,************8696
109.9,0,2,Check-Out,7/28/2015,Kyle Perez,Kyle.P@protonmail.com,352-342-5014,************4180
109.9,0,2,Check-Out,7/28/2015,Wendy Moore MD,WMD55@comcast.net,382-524-0142,************8537
187.5,1,3,Check-Out,7/29/2015,James Cobb,JamesCobb@xfinity.com,322-920-5616,************9702
134,0,0,Check-Out,7/15/2015,Brian Chang,Brian.Chang@yandex.com,178-366-4362,************1565
91.5,0,0,Canceled,7/3/2015,Michael King,Michael.King@aol.com,789-808-1750,************2985
132.44,0,0,Canceled,6/27/2015,Samuel Holmes,Holmes_Samuel34@zoho.com,306-367-8014,************1333
106.9,0,0,Check-Out,7/21/2015,Joseph Rogers MD,Joseph_MD94@outlook.com,131-388-6677,************4175
131.86,0,0,Canceled,6/25/2015,Zachary Lara,Zachary.L@protonmail.com,973-213-3367,************7986
216.13,1,0,Check-Out,7/23/2015,Juan Robles,Robles.Juan@att.com,282-222-5284,************2697
107,0,0,Check-Out,7/17/2015,Brandi Martin,Martin.Brandi90@hotmail.com,666-195-9194,************6151
107,0,0,Check-Out,7/17/2015,Joanna Cooper,Joanna.Cooper@mail.com,375-123-4076,************5315
107,0,0,Check-Out,7/17/2015,Ethan Dodson,Ethan_Dodson51@gmail.com,258-743-8087,************4173
107,0,0,Check-Out,7/17/2015,Jacob Winters,Winters_Jacob@xfinity.com,966-684-9033,************6234
107,0,0,Check-Out,7/17/2015,Nicholas Mendoza,Mendoza_Nicholas@gmail.com,219-498-6586,************2201
190.33,0,1,Check-Out,7/24/2015,Charles King,CKing@outlook.com,772-873-4486,************3481
107,0,0,Check-Out,7/17/2015,Tony Dean,Tony_Dean@aol.com,803-516-2015,************9376
94,0,0,Check-Out,7/17/2015,Deborah Young,Deborah_Y@outlook.com,579-564-8468,************6775
0,0,0,Canceled,7/13/2015,Taylor Smith,Taylor_S@aol.com,456-469-4387,************6723
98.75,0,0,Check-Out,7/17/2015,James Franklin,JamesFranklin@gmail.com,157-186-8439,************9265
148.23,0,0,Check-Out,7/17/2015,Jeffrey Duncan,JDuncan@mail.com,183-022-0578,************6323
94,0,0,Check-Out,7/17/2015,Isaiah Orr,Isaiah.Orr@zoho.com,898-242-9723,************3636
107,0,0,Check-Out,7/17/2015,Maria Rogers,MRogers@mail.com,961-949-7603,************5941
107,0,0,Check-Out,7/17/2015,Michael Smith,Michael.S@aol.com,615-796-2773,************6994
148.23,0,0,Check-Out,7/17/2015,Dr. Michael Zhang,Dr..Zhang@outlook.com,650-415-5520,************3970
0,0,0,Check-Out,7/17/2015,Sara Wood,Sara_Wood52@aol.com,290-868-9155,************2436
107,0,0,Check-Out,7/17/2015,Erin Underwood,Underwood.Erin70@att.com,913-420-5504,************5341
107,0,0,Check-Out,7/17/2015,Laura Rich,LauraRich92@gmail.com,674-300-1092,************3380
107,0,0,Check-Out,7/17/2015,Debbie Jones,Jones_Debbie@xfinity.com,619-993-4495,************4154
107,0,0,Check-Out,7/17/2015,Susan Blair,Susan.B@outlook.com,929-325-4830,************8841
98.75,0,0,Check-Out,7/17/2015,Omar Mccoy,Omar_Mccoy@yandex.com,991-887-0022,************9990
195,0,1,Canceled,7/2/2015,Ricky Orozco,Orozco.Ricky@comcast.net,924-128-2503,************6827
120.6,0,1,Check-Out,7/18/2015,Samantha Gonzalez,Samantha_Gonzalez33@aol.com,457-997-2327,************4297
123.2,0,0,Check-Out,7/17/2015,Benjamin Peterson,Benjamin_P82@verizon.com,833-101-6040,************5414
112,0,0,Canceled,6/5/2015,Leslie Jenkins,Jenkins_Leslie87@verizon.com,378-481-8067,************7255
123.2,0,0,Canceled,7/16/2015,Lisa Koch,Koch.Lisa@mail.com,888-697-2759,************2200
169,1,1,Check-Out,7/17/2015,Diane Collins,Diane_Collins@att.com,468-033-4296,************1154
198,1,0,Check-Out,7/18/2015,Melissa Delgado,Melissa_D@comcast.net,754-338-3275,************1133
103.5,0,1,Canceled,7/2/2015,Elizabeth Kelley,Elizabeth.Kelley@comcast.net,244-544-1587,************8727
135.6,0,1,Check-Out,7/18/2015,Rebecca Decker,Rebecca.Decker@yahoo.com,803-701-5660,************9371
103.5,0,1,Check-Out,7/18/2015,David Lewis,Lewis_David67@aol.com,972-030-2721,************6860
184,1,0,Check-Out,7/19/2015,Brian Randall,Brian.R@hotmail.com,864-532-3052,************2828
134,0,0,Canceled,7/13/2015,Christopher Hill,Christopher.Hill@aol.com,270-286-4631,************8781
147,0,0,Canceled,6/19/2015,Kevin Kelley,Kevin.Kelley22@mail.com,605-370-9811,************5578
151.33,0,0,Canceled,6/30/2015,Douglas Griffin,Douglas_G@yahoo.com,274-198-6087,************8596
121.33,0,1,Check-Out,7/19/2015,Jaime Mann,JMann@att.com,426-287-4217,************8534
150.2,0,1,Check-Out,7/21/2015,David Snyder,David.S@hotmail.com,136-077-5367,************1162
139,0,0,Canceled,7/7/2015,David Burns,Burns_David@protonmail.com,756-394-7896,************2266
150.2,0,1,Check-Out,7/21/2015,Andre Chang,Andre_Chang34@att.com,851-736-8750,************2846
75.44,0,1,Check-Out,7/20/2015,David Williams,Williams.David@hotmail.com,109-481-0628,************8652
135,0,0,Canceled,6/13/2015,Tyrone Berry,Tyrone_Berry@gmail.com,497-356-9108,************2879
166,0,1,Check-Out,7/22/2015,Karen Pearson,Pearson.Karen@zoho.com,881-064-6304,************3108
135,0,0,Canceled,6/11/2015,Amanda Hernandez,Amanda_Hernandez@att.com,759-661-7668,************7313
130,0,0,Check-Out,7/23/2015,Donna Carpenter,DonnaCarpenter@zoho.com,360-842-0143,************9493
96.3,0,0,Check-Out,7/24/2015,Andrew Compton,Andrew_C@gmail.com,405-771-3499,************8820
160,0,0,Check-Out,7/30/2015,Mary Wilson,Mary_W@verizon.com,531-690-2903,************5082
0,0,1,Check-Out,7/17/2015,Elizabeth Andrews,Andrews.Elizabeth@zoho.com,173-916-1509,************3876
127.25,0,1,Check-Out,7/19/2015,Charles Trujillo,Trujillo_Charles@yandex.com,139-999-4078,************6468
164,0,2,Check-Out,7/19/2015,Melissa Bryant,Melissa_B@verizon.com,852-385-7791,************7088
144.5,0,0,Check-Out,7/19/2015,Joe Smith,Joe_S46@protonmail.com,686-204-5384,************8283
112,0,0,Check-Out,7/19/2015,Bianca Robinson,Robinson.Bianca@zoho.com,151-297-9917,************4004
134,0,1,Canceled,7/6/2015,Paula Robles,PRobles@comcast.net,536-967-5212,************9944
127.25,0,1,Canceled,7/13/2015,Cheryl Reyes,CherylReyes@mail.com,396-044-9712,************7066
155.5,1,0,Check-Out,7/19/2015,Jordan Fleming,Jordan.F12@att.com,267-216-2614,************8621
110.5,0,1,No-Show,7/17/2015,Troy Morales,Troy_M@zoho.com,376-268-7634,************1174
144.5,0,0,Check-Out,7/19/2015,Mark Norman,Mark.N@aol.com,693-436-8202,************7975
144.5,0,0,Check-Out,7/19/2015,Andrew Burch,Andrew_Burch80@xfinity.com,775-821-7592,************9019
123,0,0,Check-Out,7/19/2015,Angie Carter,Angie.C@zoho.com,316-970-1612,************1357
120.6,0,1,Check-Out,7/19/2015,Daniel Small,Daniel.Small@att.com,622-163-5016,************4116
107.6,0,0,No-Show,7/17/2015,Tiffany George,Tiffany_George@att.com,242-036-1745,************4121
120.6,0,1,Canceled,7/4/2015,Edward Moore,Edward.M@att.com,292-559-5660,************3554
107,0,0,Check-Out,7/22/2015,Hailey Jones,Hailey_J@yandex.com,656-274-5320,************4752
133.75,1,0,Check-Out,7/22/2015,Miss Sharon Bowman MD,Miss_MD@verizon.com,644-188-4937,************3488
103.5,0,0,Check-Out,7/22/2015,Tiffany Willis,Tiffany_Willis@gmail.com,236-829-3521,************2456
84.8,0,1,Check-Out,7/22/2015,Jonathan Arnold,JArnold@yandex.com,630-070-6368,************4883
107,0,0,Check-Out,7/22/2015,Sheena Martin,Martin_Sheena98@zoho.com,907-537-3806,************1518
107,1,0,Check-Out,7/22/2015,Shannon Ross,Shannon.R51@xfinity.com,176-902-1799,************6544
84.8,0,1,Check-Out,7/22/2015,Stephanie Davis,SDavis@outlook.com,646-143-1086,************2490
107,1,0,Check-Out,7/22/2015,Kathleen Roy,KRoy@mail.com,478-909-5696,************7796
195,0,1,Check-Out,7/22/2015,Dakota Evans,Evans_Dakota@verizon.com,756-306-9387,************4629
164,0,0,Check-Out,7/23/2015,Jennifer Graves,Graves_Jennifer@gmail.com,743-384-8982,************3627
195,0,0,Check-Out,7/24/2015,Jennifer Gray,Jennifer.G@outlook.com,971-128-5751,************4401
125,0,2,Check-Out,7/24/2015,Steven Oliver,Steven_O60@zoho.com,237-705-4085,************9301
195,0,0,Canceled,6/24/2015,Ricky Brady,Brady.Ricky@outlook.com,866-679-8545,************9786
132.3,0,3,Check-Out,7/24/2015,Peter Anderson,Peter_Anderson91@comcast.net,729-100-2022,************8554
145,0,2,Check-Out,7/24/2015,Robert Thornton,Thornton_Robert@aol.com,932-060-8305,************5559
92,0,0,Check-Out,7/24/2015,Rebecca Edwards,Rebecca.E@att.com,320-140-5144,************2812
132.3,0,3,Check-Out,7/24/2015,Janet Brewer,Brewer.Janet@yandex.com,636-572-5977,************5153
147,0,2,Check-Out,7/25/2015,Melissa Hart,Melissa.Hart82@hotmail.com,198-215-6392,************3093
167,1,2,Check-Out,7/25/2015,Megan Carter,MCarter@protonmail.com,394-509-3733,************9886
210,0,1,Check-Out,7/25/2015,Christopher Anderson,CAnderson@zoho.com,753-519-9828,************7380
194.9,0,2,Check-Out,7/27/2015,Patricia Blevins,Blevins_Patricia81@aol.com,732-152-1317,************5205
103.5,1,3,Check-Out,7/20/2015,Hunter Smith,Hunter.S@xfinity.com,803-117-4063,************6486
118.5,0,3,Check-Out,7/20/2015,Monique Crosby,Monique_C@outlook.com,329-251-7629,************5047
192,0,1,Check-Out,7/20/2015,Cynthia Lee,CynthiaLee80@xfinity.com,459-240-2782,************1712
128.27,0,0,Check-Out,7/20/2015,Jacob Evans,Jacob.E56@aol.com,426-205-7651,************2759
135,0,0,Check-Out,7/20/2015,Jennifer Brown,Jennifer.Brown@gmail.com,546-407-4553,************4288
126.3,0,2,Check-Out,7/20/2015,Michael Cooper,MichaelCooper@comcast.net,901-586-3616,************7272
154,0,0,Canceled,6/24/2015,Tony Bush,Tony.Bush@protonmail.com,952-624-6492,************3077
96.3,0,0,Check-Out,7/20/2015,Joshua Kidd,Joshua_K@att.com,633-694-9073,************4769
126.3,0,2,Check-Out,7/20/2015,Jamie Hernandez,Hernandez_Jamie@xfinity.com,191-595-2844,************5140
136,0,0,Canceled,7/17/2015,Rodney Conner,Rodney_C89@verizon.com,917-447-5322,************8021
118.5,0,3,Check-Out,7/20/2015,Marcus Smith,MarcusSmith@verizon.com,716-719-3813,************1928
116.33,1,1,Check-Out,7/20/2015,Maria Mathews,Maria.Mathews@xfinity.com,378-841-6181,************7569
164,0,1,Check-Out,7/21/2015,Sarah Ramirez,Ramirez_Sarah91@yandex.com,625-640-0396,************5553
147.67,0,2,Check-Out,7/21/2015,Jessica Cooper,Cooper_Jessica93@gmail.com,529-640-4850,************8733
145,0,0,Check-Out,7/24/2015,William Sullivan,William_Sullivan@zoho.com,797-919-5202,************3501
147,1,2,Check-Out,7/24/2015,Michael Myers,Michael.M@protonmail.com,518-132-2673,************5844
168.3,0,0,Canceled,7/18/2015,Charles Wallace,CharlesWallace@mail.com,858-030-1199,************4581
167,0,0,Check-Out,7/25/2015,Katie Caldwell MD,MD_Katie94@comcast.net,583-151-2764,************4827
137.75,1,1,Check-Out,7/25/2015,Melinda Vaughn,Vaughn_Melinda@mail.com,377-173-2317,************5735
145,0,0,Check-Out,7/22/2015,Ryan Hernandez,Ryan.H@aol.com,891-867-4548,************4463
132.6,1,0,Check-Out,7/22/2015,Kaitlyn Price,Kaitlyn.P@verizon.com,691-398-3353,************1475
147,0,0,Canceled,4/29/2015,Ian Ruiz,Ruiz_Ian33@aol.com,609-232-7724,************4407
157,0,2,Canceled,6/4/2015,Kristen Johnson,Kristen.Johnson90@aol.com,370-321-0168,************6702
210,0,0,Canceled,6/11/2015,Raymond Brandt,Brandt.Raymond@mail.com,319-878-4862,************8566
132.5,0,0,Check-Out,7/23/2015,Cindy Ali,Cindy_A@aol.com,724-926-3351,************9304
98.02,0,1,Check-Out,7/23/2015,Anthony Dean,Anthony.D@yahoo.com,344-669-7638,************4903
126,0,2,Check-Out,7/23/2015,Crystal Wright,Crystal_W@protonmail.com,998-795-3167,************5459
173,0,1,Check-Out,7/19/2015,Margaret Hernandez,Hernandez.Margaret@comcast.net,625-354-9636,************9281
249,0,0,Check-Out,7/19/2015,Brian Shepherd,Shepherd.Brian56@hotmail.com,383-899-7976,************4300
186.5,0,0,Check-Out,7/20/2015,James Burton,James.Burton@gmail.com,118-901-2079,************3694
95,0,1,Check-Out,7/21/2015,Bruce Rollins,Bruce.R@outlook.com,479-820-9227,************5155
241.5,0,2,Check-Out,7/25/2015,Anne Franklin,AnneFranklin@zoho.com,556-488-1764,************4474
177,1,0,Check-Out,7/25/2015,Janet Cooke,Janet.Cooke96@zoho.com,626-569-8510,************6279
153.73,1,0,Check-Out,7/25/2015,Patrick Thompson,PatrickThompson@aol.com,453-274-8585,************9425
115,0,1,Check-Out,7/25/2015,Amy Harrington,Amy_Harrington@yandex.com,162-240-2695,************6776
127.03,0,2,Canceled,6/24/2015,Stacy Smith,Smith.Stacy@mail.com,209-301-0118,************2322
128.25,0,1,Check-Out,7/25/2015,Jessica Davis,JessicaDavis@hotmail.com,627-126-9246,************3344
128.25,0,1,Check-Out,7/25/2015,Dr. Nicole Ortiz,Dr._O@xfinity.com,241-653-0641,************1294
115,0,1,Check-Out,7/25/2015,Tyler Martin,TMartin@protonmail.com,126-563-7308,************9557
135,0,1,Check-Out,7/26/2015,Phillip Delacruz,PDelacruz@mail.com,408-998-6954,************5554
167,0,0,Canceled,6/1/2015,Alex Edwards,AEdwards@xfinity.com,297-422-3112,************1842
135,0,1,Check-Out,7/26/2015,Katherine Olson,Olson.Katherine@yahoo.com,251-750-1008,************1554
124.5,0,0,Check-Out,8/1/2015,Danielle Newman,DNewman68@verizon.com,810-001-1489,************5353
98,0,0,Check-Out,7/20/2015,James Benson,James_B@hotmail.com,771-197-3340,************8450
